Date,Open,High,Low,Close,Volume,Adj Close
2006-01-02,503.936,503.936,503.936,503.936,0,277.165
2006-01-03,510.141,512.357,503.936,504.379,11012600,277.409
2006-01-04,507.038,507.038,502.606,504.379,11089600,277.409
2006-01-05,506.595,506.595,499.504,501.276,16907500,275.702
2006-01-06,503.936,504.379,496.756,499.06,11105900,274.484
2006-01-09,500.833,500.833,491.083,491.526,21198800,270.34
2006-01-10,492.412,498.174,491.083,491.083,36094800,270.096
2006-01-11,495.515,497.172,490.639,494.185,12401100,271.802
2006-01-12,495.958,497.731,492.412,495.071,11320700,272.29
2006-01-13,495.071,496.401,486.207,488.423,12343200,268.633
2006-01-16,488.423,499.122,487.643,494.185,11409100,271.802
2006-01-17,494.628,500.833,492.855,499.947,13992600,274.971
2006-01-18,496.844,507.038,496.401,504.822,13574800,277.653
2006-01-19,507.038,509.254,503.049,506.152,11117700,278.384
2006-01-20,505.265,507.925,499.504,501.72,7538100,275.947
2006-01-23,496.401,503.049,492.412,498.174,6015000,273.996
2006-01-24,502.606,504.995,498.174,498.174,5164400,273.996
2006-01-25,501.72,504.379,496.091,503.493,6890100,276.922
2006-01-26,506.152,508.811,499.504,500.39,7613500,275.215
2006-01-27,501.72,502.744,496.401,499.947,6025500,274.971
2006-01-30,503.493,513.686,500.833,511.914,11971100,281.553
2006-01-31,511.914,512.357,507.038,510.141,7204300,280.578
2006-02-01,511.47,515.016,506.152,512.357,9464500,281.797
2006-02-02,515.903,522.994,512.357,515.459,9543700,283.503
2006-02-03,519.005,524.767,515.903,522.108,15411600,287.16
2006-02-06,521.664,529.199,514.334,515.903,15244200,283.747
2006-02-07,515.903,518.119,511.47,515.903,9410500,283.747
2006-02-08,517.675,533.631,347.038,523.88,31025900,288.135
2006-02-09,522.994,527.426,517.675,525.653,18720100,289.11
2006-02-10,525.653,525.653,514.839,518.562,18198000,285.21
2006-02-13,521.221,521.664,515.016,520.778,0,286.429
2006-02-14,522.994,522.994,513.686,516.346,20673400,283.991
2006-02-15,518.562,522.994,517.232,520.335,23592700,286.185
2006-02-16,522.551,523.233,513.359,521.221,14498700,286.672
2006-02-17,523.88,524.324,251.206,512.8,16515300,282.041
2006-02-20,511.47,522.994,509.698,513.243,10285400,282.284
2006-02-21,510.141,524.767,510.141,519.448,42151800,285.697
2006-02-22,520.335,538.507,516.789,530.529,25828900,291.792
2006-02-23,532.302,532.302,529.642,529.642,8445800,291.304
2006-02-24,529.642,549.215,529.199,543.825,24651700,299.104
2006-02-27,546.928,556.235,539.375,540.723,12950400,297.398
2006-02-28,539.393,541.166,531.858,531.858,23465500,292.522
2006-03-01,532.745,530.972,527.426,530.972,10978200,292.035
2006-03-02,528.756,537.62,528.756,531.415,13341000,292.279
2006-03-03,529.642,531.832,524.324,524.767,10646800,288.622
2006-03-06,527.426,530.972,526.097,528.756,8551900,290.816
2006-03-07,526.097,530.706,520.335,526.54,13731500,289.598
2006-03-08,526.54,531.415,520.689,522.994,19811000,287.647
2006-03-09,523.88,529.199,522.551,524.767,8209600,288.622
2006-03-10,522.108,529.731,519.448,529.642,6218000,291.304
2006-03-13,531.858,536.29,244.814,534.518,7620000,293.986
2006-03-14,532.302,536.122,526.54,530.085,5503600,291.547
2006-03-15,529.199,546.179,528.756,534.961,17942500,294.229
2006-03-16,536.29,536.29,529.199,531.858,7470400,292.522
2006-03-17,531.858,537.177,525.653,530.529,15188300,291.792
2006-03-20,531.858,532.922,526.097,529.199,9527500,291.06
2006-03-21,530.972,530.972,523.437,528.313,11149800,290.573
2006-03-22,527.426,528.313,521.221,522.994,9408200,287.647
2006-03-23,525.653,526.097,515.424,518.119,13356600,284.966
2006-03-24,520.778,521.221,513.686,519.005,9903400,285.453
2006-03-27,520.778,520.778,514.573,516.346,7041500,283.991
2006-03-28,516.346,520.751,502.775,505.265,25993500,277.896
2006-03-29,505.265,511.914,499.468,507.038,28258300,278.871
2006-03-30,514.13,516.789,509.254,511.47,19477500,281.309
2006-03-31,508.368,514.573,502.912,507.481,13576100,279.115
2006-04-03,519.005,519.005,507.481,510.141,10320200,280.578
2006-04-04,510.141,513.686,508.368,510.141,10560400,280.578
2006-04-05,511.914,511.914,500.833,507.038,12931600,278.871
2006-04-06,507.038,515.903,505.265,512.8,12659700,282.041
2006-04-07,511.47,515.459,501.276,503.049,14217700,276.678
2006-04-10,504.822,504.822,498.741,503.493,8476000,276.922
2006-04-11,505.709,505.709,496.844,497.731,10281100,273.753
2006-04-12,499.504,499.504,490.79,494.185,9843100,271.802
2006-04-13,494.185,496.844,490.196,493.299,10367400,271.315
2006-04-14,493.299,493.299,493.299,493.299,0,271.315
2006-04-17,493.299,493.299,493.299,493.299,0,271.315
2006-04-18,498.617,500.833,491.526,495.515,9239000,272.534
2006-04-19,501.72,510.584,501.72,505.709,16686900,278.141
2006-04-20,504.822,511.027,502.606,506.152,13562300,278.384
2006-04-21,507.925,521.159,505.265,511.47,18768400,281.309
2006-04-24,507.481,514.786,506.152,511.027,20665600,281.065
2006-04-25,513.243,515.016,508.368,511.914,6356600,281.553
2006-04-26,514.573,516.934,508.368,509.698,6626200,280.334
2006-04-27,511.47,512.8,500.833,509.698,11646400,280.334
2006-04-28,509.698,514.13,506.595,510.141,8286900,280.578
2006-05-01,510.141,510.141,510.141,510.141,0,280.578
2006-05-02,507.925,513.031,504.002,511.47,8648100,281.309
2006-05-03,513.243,513.686,506.152,506.595,7460500,278.628
2006-05-04,505.265,512.357,504.445,510.141,5721300,280.578
2006-05-05,508.811,511.541,498.617,502.606,11555700,276.434
2006-05-08,506.152,508.47,501.276,505.265,16083500,277.896
2006-05-09,507.038,507.038,498.617,504.379,20197100,277.409
2006-05-10,505.265,513.243,504.379,506.152,24580000,278.384
2006-05-11,504.822,507.038,490.639,493.742,11980100,271.559
2006-05-12,493.742,493.742,484.877,489.31,20892000,269.121
2006-05-15,487.98,499.947,478.3,496.844,11759800,273.265
2006-05-16,496.844,506.152,492.412,503.493,11281600,276.922
2006-05-17,502.163,505.709,495.071,495.515,20184900,272.534
2006-05-18,497.731,506.152,489.31,504.379,19390900,277.409
2006-05-19,500.833,510.229,500.833,504.822,12057400,277.653
2006-05-22,503.493,511.027,495.515,504.822,7697200,277.653
2006-05-23,504.822,518.562,499.947,517.675,16475000,284.722
2006-05-24,515.459,520.778,509.254,514.573,12092200,283.016
2006-05-25,513.243,529.199,513.243,524.324,15939800,288.379
2006-05-26,528.313,536.29,523.437,535.404,13034000,294.473
2006-05-29,535.404,535.404,535.404,535.404,0,294.473
2006-05-30,535.404,535.404,526.673,526.983,13774900,289.841
2006-05-31,523.437,541.609,523.437,537.62,16682200,295.692
2006-06-01,535.847,540.723,527.869,538.95,0,296.423
2006-06-02,541.166,544.951,529.731,537.62,20068800,295.692
2006-06-05,537.62,545.598,533.082,541.609,7705400,297.886
2006-06-06,539.393,546.928,534.447,545.155,20914000,299.836
2006-06-07,536.29,545.155,527.869,531.415,19471600,301.06
2006-06-08,521.221,534.606,519.448,526.983,11682900,298.549
2006-06-09,526.983,543.724,519.892,526.983,18682900,298.549
2006-06-12,526.983,529.642,522.108,523.437,8425400,296.54
2006-06-13,519.005,520.335,511.47,517.675,15478500,293.276
2006-06-14,518.119,522.994,512.8,521.221,10746700,295.284
2006-06-15,521.221,531.858,520.335,530.085,40670400,300.306
2006-06-16,534.518,537.886,530.529,531.858,33776700,301.311
2006-06-19,538.507,542.052,530.085,531.858,11998200,301.311
2006-06-20,530.085,536.29,527.869,535.404,10535600,303.319
2006-06-21,537.62,543.382,530.085,539.393,9903000,305.579
2006-06-22,542.495,545.155,532.564,534.074,20285500,302.566
2006-06-23,532.745,535.847,529.607,531.858,13129300,301.311
2006-06-26,529.199,530.972,502.606,528.756,31737500,299.553
2006-06-27,530.972,531.415,520.335,521.221,18487200,295.284
2006-06-28,520.335,528.135,519.005,519.448,16243400,294.28
2006-06-29,521.221,523.437,519.448,520.335,11809300,294.782
2006-06-30,520.335,641.554,517.232,518.562,25399700,293.778
2006-07-03,519.005,523.437,518.225,522.108,11648600,295.787
2006-07-04,522.994,528.463,517.675,521.664,7861900,295.535
2006-07-05,521.221,523.437,516.789,520.335,12456500,294.782
2006-07-06,520.335,527.426,520.335,526.54,23169100,298.298
2006-07-07,526.54,531.858,524.324,529.642,14889100,300.055
2006-07-10,531.858,531.858,527.426,530.529,5815100,300.558
2006-07-11,529.642,532.745,523.437,525.21,12268300,297.544
2006-07-12,526.54,529.642,519.005,521.221,7104700,295.284
2006-07-13,519.892,526.54,516.479,522.994,15094800,296.289
2006-07-14,519.448,526.097,259.148,521.221,9084900,295.284
2006-07-17,521.221,524.018,515.903,521.221,6996800,295.284
2006-07-18,518.562,527.781,518.562,526.54,10348500,298.298
2006-07-19,530.529,531.415,519.892,527.869,11448200,299.051
2006-07-20,527.869,530.972,520.335,523.88,5612700,296.791
2006-07-21,522.994,537.975,520.335,526.097,8694400,298.047
2006-07-24,528.313,536.734,527.426,533.631,10382800,302.315
2006-07-25,536.357,537.62,531.415,533.631,14658500,302.315
2006-07-26,533.188,534.642,529.642,530.972,9304000,300.809
2006-07-27,533.631,537.62,529.793,534.518,12093200,302.817
2006-07-28,530.529,544.712,530.529,542.939,12200900,307.588
2006-07-31,545.155,545.155,538.507,540.279,8531800,306.081
2006-08-01,542.495,543.753,533.631,534.518,8100600,302.817
2006-08-02,536.734,540.825,533.188,537.177,11775300,304.324
2006-08-03,535.847,542.495,533.188,535.847,0,303.57
2006-08-04,535.847,541.609,531.619,540.723,10288800,306.333
2006-08-07,537.177,544.951,535.404,541.166,7419000,306.584
2006-08-08,542.495,545.155,539.836,544.268,12419200,308.341
2006-08-09,546.041,550.473,538.524,549.587,13524000,311.354
